Date,"(deg C) Maximum Temperature (gridMET) at -117.0751E,33.1278N, 2007-01-01 to 2007-12-31"
1/1/07,17.49
1/2/07,21.6389
1/3/07,21.9393
1/4/07,19.3995
1/5/07,16.84
1/6/07,18.5291
1/7/07,21.8888
1/8/07,25.7694
1/9/07,26.9094
1/10/07,19.759
1/11/07,17.0492
1/12/07,12.4189
1/13/07,11.9696
1/14/07,13.0296
1/15/07,14.4294
1/16/07,16.3093
1/17/07,15.269
1/18/07,16.6898
1/19/07,18.5796
1/20/07,17.6796
1/21/07,17.1994
1/22/07,18.619
1/23/07,20.8399
1/24/07,23.0794
1/25/07,24.0298
1/26/07,19.9596
1/27/07,17.3496
1/28/07,17.5996
1/29/07,18.9698
1/30/07,14.3296
1/31/07,13.9517
2/1/07,15.7208
2/2/07,17.8914
2/3/07,20.3807
2/4/07,25.5417
2/5/07,27.6309
2/6/07,23.8414
2/7/07,20.8116
2/8/07,21.0209
2/9/07,21.3213
2/10/07,21.4407
2/11/07,16.9409
2/12/07,18.1019
2/13/07,15.6211
2/14/07,18.7507
2/15/07,21.8716
2/16/07,26.9907
2/17/07,27.7417
2/18/07,21.8408
2/19/07,14.8516
2/20/07,19.301
2/21/07,19.3515
2/22/07,15.8415
2/23/07,14.2718
2/24/07,18.7211
2/25/07,18.3715
2/26/07,17.7818
2/27/07,13.7917
2/28/07,14.0502
3/1/07,16.59
3/2/07,19.5398
3/3/07,21.8002
3/4/07,24.5001
3/5/07,24.6404
3/6/07,24.4004
3/7/07,22.4503
3/8/07,23.3305
3/9/07,22.8097
3/10/07,25.2499
3/11/07,29.1501
3/12/07,31.1507
3/13/07,27.7208
3/14/07,24.9101
3/15/07,27.6297
3/16/07,28.8903
3/17/07,26.9304
3/18/07,21.7202
3/19/07,21.8101
3/20/07,19.1397
3/21/07,17.9406
3/22/07,21.9701
3/23/07,21.8199
3/24/07,22.1105
3/25/07,24.3597
3/26/07,22.8898
3/27/07,16.2798
3/28/07,19.1003
3/29/07,22.96
3/30/07,25.8002
3/31/07,25.5983
4/1/07,24.6072
4/2/07,23.6383
4/3/07,23.9879
4/4/07,26.1683
4/5/07,24.6983
4/6/07,22.8073
4/7/07,22.1573
4/8/07,21.538
4/9/07,22.4773
4/10/07,24.8079
4/11/07,22.9772
4/12/07,19.0178
4/13/07,24.8571
4/14/07,23.4979
4/15/07,16.6282
4/16/07,20.5777
4/17/07,23.3379
4/18/07,20.5174
4/19/07,22.3074
4/20/07,13.4383
4/21/07,18.7581
4/22/07,18.7581
4/23/07,20.0175
4/24/07,24.3474
4/25/07,25.9479
4/26/07,22.438
4/27/07,27.1372
4/28/07,29.2572
4/29/07,26.3271
4/30/07,27.9855
5/1/07,26.4945
5/2/07,23.9153
5/3/07,20.8953
5/4/07,19.2751
5/5/07,21.3952
5/6/07,26.3456
5/7/07,30.545
5/8/07,32.1553
5/9/07,30.9045
5/10/07,28.5149
5/11/07,25.5453
5/12/07,23.6051
5/13/07,22.7445
5/14/07,24.1554
5/15/07,23.7146
5/16/07,24.1849
5/17/07,23.9855
5/18/07,24.7549
5/19/07,25.8851
5/20/07,25.7854
5/21/07,23.525
5/22/07,22.8245
5/23/07,24.2453
5/24/07,25.4949
5/25/07,24.8251
5/26/07,24.1049
5/27/07,24.4152
5/28/07,23.2751
5/29/07,23.6949
5/30/07,23.9744
5/31/07,24.4903
6/1/07,24.6404
6/2/07,26.5401
6/3/07,26.9008
6/4/07,27.0399
6/5/07,24.851
6/6/07,21.7202
6/7/07,24.3401
6/8/07,25.3102
6/9/07,25.2511
6/10/07,26.6804
6/11/07,26.7408
6/12/07,29.4702
6/13/07,31.3502
6/14/07,31.6506
6/15/07,29.3902
6/16/07,28.9002
6/17/07,27.131
6/18/07,27.1508
6/19/07,28.1307
6/20/07,29.1206
6/21/07,29.6303
6/22/07,30.6903
6/23/07,28.9901
6/24/07,28.9802
6/25/07,29.16
6/26/07,30.1301
6/27/07,29.4505
6/28/07,30.1707
6/29/07,30.5105
6/30/07,31.2763
7/1/07,30.6669
7/2/07,31.227
7/3/07,32.9666
7/4/07,33.4862
7/5/07,32.047
7/6/07,34.1165
7/7/07,32.7069
7/8/07,30.3061
7/9/07,31.1667
7/10/07,29.8063
7/11/07,28.5161
7/12/07,28.1369
7/13/07,29.3668
7/14/07,31.0165
7/15/07,30.5967
7/16/07,30.1769
7/17/07,28.8867
7/18/07,29.4862
7/19/07,30.1966
7/20/07,29.6672
7/21/07,28.5863
7/22/07,29.357
7/23/07,30.167
7/24/07,31.1372
7/25/07,30.4367
7/26/07,31.8968
7/27/07,31.1864
7/28/07,29.5761
7/29/07,28.276
7/30/07,28.1566
7/31/07,30.4551
8/1/07,28.8559
8/2/07,31.216
8/3/07,31.9054
8/4/07,30.8959
8/5/07,30.2458
8/6/07,28.7857
8/7/07,29.2154
8/8/07,30.3554
8/9/07,30.6656
8/10/07,31.1556
8/11/07,31.0756
8/12/07,32.8854
8/13/07,33.4049
8/14/07,32.3154
8/15/07,32.4459
8/16/07,34.625
8/17/07,33.9355
8/18/07,34.1658
8/19/07,32.2353
8/20/07,33.155
8/21/07,33.1058
8/22/07,32.0556
8/23/07,30.4958
8/24/07,30.9057
8/25/07,31.4253
8/26/07,30.3554
8/27/07,33.1759
8/28/07,34.6349
8/29/07,35.3747
8/30/07,34.4452
8/31/07,35.0239
9/1/07,34.5634
9/2/07,34.4329
9/3/07,34.9439
9/4/07,32.6232
9/5/07,29.4838
9/6/07,28.4237
9/7/07,29.874
9/8/07,29.4333
9/9/07,29.1329
9/10/07,30.1732
9/11/07,33.0541
9/12/07,32.6933
9/13/07,31.0337
9/14/07,29.9233
9/15/07,29.8334
9/16/07,28.393
9/17/07,25.874
9/18/07,27.024
9/19/07,25.4936
9/20/07,20.8141
9/21/07,25.3939
9/22/07,23.3034
9/23/07,25.2339
9/24/07,26.4539
9/25/07,28.7832
9/26/07,29.9233
9/27/07,29.2437
9/28/07,25.3841
9/29/07,24.5432
9/30/07,28.5149
10/1/07,27.5952
10/2/07,29.6352
10/3/07,30.2852
10/4/07,26.2656
10/5/07,21.2253
10/6/07,24.0655
10/7/07,27.8759
10/8/07,30.3148
10/9/07,26.2348
10/10/07,25.0849
10/11/07,24.8657
10/12/07,23.4549
10/13/07,21.2758
10/14/07,25.1157
10/15/07,24.345
10/16/07,22.2053
10/17/07,23.5152
10/18/07,27.9251
10/19/07,31.8648
10/20/07,28.5456
10/21/07,28.2255
10/22/07,28.5653
10/23/07,32.7057
10/24/07,35.2147
10/25/07,33.1452
10/26/07,28.2354
10/27/07,27.0055
10/28/07,29.0849
10/29/07,28.1849
10/30/07,23.5755
10/31/07,21.3866
11/1/07,23.317
11/2/07,24.196
11/3/07,26.6361
11/4/07,24.7365
11/5/07,23.7466
11/6/07,23.6371
11/7/07,22.726
11/8/07,21.6069
11/9/07,20.196
11/10/07,17.6266
11/11/07,18.2964
11/12/07,22.0267
11/13/07,26.7469
11/14/07,28.0162
11/15/07,27.2665
11/16/07,24.0064
11/17/07,22.8861
11/18/07,23.6568
11/19/07,23.5964
11/20/07,20.9163
11/21/07,21.9861
11/22/07,19.466
11/23/07,16.2465
11/24/07,21.1071
11/25/07,20.4767
11/26/07,20.4164
11/27/07,20.457
11/28/07,23.1163
11/29/07,23.5767
11/30/07,18.4528
12/1/07,16.6528
12/2/07,18.2816
12/3/07,21.9726
12/4/07,25.5527
12/5/07,25.9221
12/6/07,21.2721
12/7/07,15.8021
12/8/07,15.1028
12/9/07,15.3121
12/10/07,17.8224
12/11/07,16.3524
12/12/07,17.5922
12/13/07,16.8818
12/14/07,17.682
12/15/07,19.3527
12/16/07,19.7627
12/17/07,17.4026
12/18/07,17.8322
12/19/07,17.0726
12/20/07,18.2718
12/21/07,17.2425
12/22/07,17.4925
12/23/07,22.5118
12/24/07,23.5324
12/25/07,19.2124
12/26/07,18.092
12/27/07,13.6722
12/28/07,13.3017
12/29/07,15.4524
12/30/07,17.6217
12/31/07,21.4419